quantile,x
0.5,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e0
0.5001,3.4800432912245306045593766917218926957168831959757814955778143232281082234439012000524093915658509022139209448298314938149485102556393297708389e-4
0.5002,6.9600868936905536099053649296001065121102761451144516596189012882855124425808829596807720389463204180466236704658564408444652793450671444966089e-4
0.5003,1.0440131118639735060501427841954347762700360821114245572406765276820955148154288480388917405320263633367256656382348696309418293576160857343282e-3
0.5004,1.3920176277314088288404491555298821695710072244724549726314239648331229677139440031664359940329802013064634611666356095853401955294818389993043e-3
0.5005,1.7400222680956147557661076888645535405271496070726292099568434796107154769129188332432299455830840436587840157764460103179676385325133015633698e-3
0.5006,2.0880270640809141709422712991560186418954637690146795622939448620705000106560210878344320923731639869523917157631934444159650778047461819750196e-3
0.5007,2.4360320468117167808020396423071116673123044926241477344944962553825132563374711486732562695878562389110743240509240142469246349887346972128497e-3
0.5008,2.7840372474125364788237861610703457400224388575808561250083856853006450567105901262293198260367581862647463318409637949132535504420411838473058e-3
0.5009,3.1320426970080087104023431681643685994236600467879349123660239164230762190693622943350838403945411229819048301725288303634873788437081082163536e-3
0.501,3.4800484267229078378880222321346720202951504272314354282009674218311287828538406410526179609271533692224242666802988753233582907845884358564788e-3
0.5011,3.8280544676821645058174475588793218991532337838013986088497723994626711549440190250416443567737219418031251701724491612520004960230682476427419e-3
0.5012,4.1760608510108830063601805502106246153117891674189660515388851510827392867076303858753775256717058679959131406358154361624478211881026284055434e-3
0.5013,4.5240676078343586450051142703363657382579277375495089504981810922287809234443908119071266506574822100278009618077741879638616170659616897519893e-3
0.5014,4.8720747692780951065106171617217741519731594052789412699403751093664524873711198437288415221657289019436426444646160505114476015505651008300088e-3
0.5015,5.2200823664678218211424060234381501847546965743072608009668815241360363757824277991134959049843737167768755055834533203777442344193729340351960e-3
0.5016,5.5680904305295113312231289978188696082124233038248391474605265868042547193522876766770218993002997137547970791962457507661901666576803197600995e-3
0.5017,5.9160989925893966580176401050312029100950778714218353964455690540177110952341544398486084191914503540592213882386738186329942751983308120613422e-3
0.5018,6.2641080837739886689779477200362848489145972792837767685669635368600770659534232888450112273657281897623016587413693446615216940033717084093584e-3
0.5019,6.6121177352100934453718203023530940671955580089120633521541680191408800485866905350924149487765012982425417994749498847694900067945611863516784e-3
0.502,6.9601279780248296503190336660691649048677807173391614698903730193173911055950426861177952340809600139966813144039981987980120522319998313715618e-3
0.5021,7.3081388433456458972592451156549092940359264158000721606810390756424087784178460117563727592400338149029844952555064574602155766669607504895084e-3
0.5022,7.6561503623003381188754808723440788824635891075745467647552991970277593777560072240885595146101477009554809087510785841164765789895908333304538e-3
0.5023,8.0041625660170669364972243761444968738625090300399321915911600834381773136282998198156919005799683725672181567191791237390983370274328742850390e-3
0.5024,8.3521754856243750300070942699454334598219931950329100379737575883999001666170858415254011607986648733591201994784994014287002504281755391749555e-3
0.5025,8.7001891522512045082751021546958335730097938897760950719912739851984803478239531470697048340583624550685562807014697534168721417119473921007506e-3
0.5026,9.0482035970269142801444815482462239159966112598488394657829125939960400610728851374027366552744833986630568577346819071391743524685156215498384e-3
0.5027,9.3962188510812974259930808851819682269384216261385781759034328762968734033974783138431882976969621704265674185793759315057546993503934871033321e-3
0.5028,9.7442349455445985698943148608322934870009389796661411106845842631771347016604962358654462621632985690053364617312441277006159049162988843070610e-3
0.5029,1.0092251911547531252401669949624110785270382201287878329981135420662111821605923650554227231780796591399155831756189982371737948206302471366739e-2
0.503,1.0440269780221295303980761516068285976162093520068565692831595062130569888889654712687135552020557189952432435507035108384388855027208230760156e-2
0.5031,1.0788288582697594219112941585925107880346007624063556816854667753664507986350601160376451632835585511836439994998165025643296595202551889048280e-2
0.5032,1.1136308350108652531094458055501934066259405350284199853488280105719680095508614052559263261841611595761790005467292597508054378439956340749906e-2
0.5033,1.1484329113587233187555167888596292402942570914616482349455760210769135255052115792893248625370646137395477556122865881736268323383742677452293e-2
0.5034,1.1832350904266654926720808683319254558800448657917072541339315232303825398012736040646465072368636148534203301841776420851020677432805668641413e-2
0.5035,1.2180373753280809654442834884924097204782064251903785281531586397598688855910978746111891006080408225864136913876129906111948636547778214965368e-2
0.5036,1.2528397691764179822019826875831797485099206969280317242105495123238052198018134538753486460196506501016066686741481840792966233516759328285575e-2
0.5037,1.2876422750851855804834483190295688860727494474179939327313591683751965561786493836855730681336150641429643727365110590349484040652372120196900e-2
0.5038,1.3224448961679553281830208178590797169917978766583194358105549533693211969769536105168027431890634997314985002916511991251523729264458103063993e-2
0.5039,1.3572476355383630615851309584257398135837952899164712161751281817722989635641128105242889518987457328007386367114406328655504354513345012080930e-2
0.504,1.3920504963101106234870822697781848074478511930133462900570975978650255575701188344445037240119301887453116444285500529576350663811890320098803e-2
0.5041,1.4268534815969676014129980011169648797488760103693451142668172062307922719477878422305930873348199379771938935900984177814807506434952508631005e-2
0.5042,1.4616565945127730659213347620165173389582069447033295433414550236756078976688730499045173675366893965650981885076071599519972802469039555454740e-2
0.5043,1.4964598381714373090083652004408907591047178576757581338003864631564440135286911798449943556674801588808415912900836490370949939543841356367398e-2
0.5044,1.5312632156869435826100323260606106107960289563309802373264618426193446965203973642654975738057518649211924879717124914716718688695543901166312e-2
0.5045,1.5660667301733498372045783369820326790862274643483713560484819889100549016973597800474478877751928306211097927968757872469784974794576633017884e-2
0.5046,1.6008703847447904605183510647311539119802861174187760151817888229326119750303269662787634371694703223740487073462453084194314075441636688559567e-2
0.5047,1.6356741825154780163371914151921806090308730560109537204562133246577322894355297659151060788997950786770002328074790806257682658528703136815784e-2
0.5048,1.6704781265997049834258054521882558180444334234638717758687560532904990937520592794061075186537613385621358471457765136871194963313009458690923e-2
0.5049,1.7052822201118454945575250455087110914708570163903765345036201281996703066222085918077507252896547945773482529600266256704343990963421371293444e-2
0.505,1.7400864661663570756568612864351468562758352364837069365655262408852035609171425878157248596844915291597620535582974226483924736189331875536584e-2
0.5051,1.7748908678777823850572551611986999337892773069719159909736542610244154805827840843773386530698873282543004304509402003697221951219233143165486e-2
0.5052,1.8096954283607509528764302663141904458271197917591964425662958057412331351753692324465894549377656329729384965147691636546101059866741682854514e-2
0.5053,1.8445001507299809205117526493846425786295823216879577009255348618155773859628409885614437404328672029100348187409447850244165262612975885946655e-2
0.5054,1.8793050381002807802580031647531584538707479423093438232477856464234726293379493192398791774622770506283701818691271536763440215412792370113020e-2
0.5055,1.9141100935865511150499680452995305790361530843764216192249845208820848792537583979771332363321121613446044146769045913440835812749779714096175e-2
0.5056,1.9489153203037863383322537097375698238343141686716740090893307950540347679365495420884465453995823143139379764233485042210180787095349236303150e-2
0.5057,1.9837207213670764340587321489671913115767747891559905719255329264416850500846000790879698295712574987175367781571226170715761337533986486372214e-2
0.5058,2.0185262998916086968240235653741536593637269874443736841497309694816770824898956656173883375961681368958250138869739612664648588108076157899892e-2
0.5059,2.0533320589926694721294232754513262090802602648281886072763083784354902508451191391079732672739604945195863260654225448442637478371122229898602e-2
0.506,2.0881380017856458967856802287398277570528340370764829824446127469458447185765743850860193822312720626496133610567877644261730671254406999388133e-2
0.5061,2.1229441313860276394550348448577272499560659430663014580121107807645576055550200930617299937812642047528363584772844360271750861765814220817997e-2
0.5062,2.1577504509094086413349242252996353544005011484636115445327112147094397714875881082931858710101932897044171762767549091102995280211319227662257e-2
0.5063,2.1925569634714888569857631577538840720850790993796935716876104190286830604161566216477247998522512810087166521324154471193726366144744473993365e-2
0.5064,2.2273636721880759953052096978965529727551326174470460291061720093636126873411728543349192884450260278151127372529119641600686289052811635470012e-2
0.5065,2.2621705801750872606513244869848434401570196137962014943576618976776007827750925318809269488712432824945197349473001697888324764619481889686225e-2
0.5066,2.2969776905485510941170333430877398425762463913764483997705370600802614777952288850826929281060567857669977086867731725238326942203766278955555e-2
0.5067,2.3317850064246089149583030494610670133161221839059003065199026268194239082909440736439284834872850484743624802307906914920488210049562954146196e-2
0.5068,2.3665925309195168621784406553985201236850264081438584499787176253130876855514439365458416381718750690367728775590648244623318391182788056917317e-2
0.5069,2.4014002671496475362709270028715942291248362507836256933064091603934175948555061848888857074597800632461231702927700916416611347065667979245518e-2
0.507,2.4362082182314917411231955964111897661460129263385947269736175936524918472066030536318746334739208619802032706137033381250893313987073998870460e-2
0.5071,2.4710163872816602260837683439836554020580456059319237054589160148019930344244364969117597913239830198924635724784587560710996026753903389414468e-2
0.5072,2.5058247774168854281951601130758142592779927053032462053638234199534429984909487831373643067312740393085926088793252935565117457332550817410695e-2
0.5073,2.5406333917540232145949644688287920691042646040328709996929750501921550400795117371464445222959539107461910312868310712372893386150798524079374e-2
0.5074,2.5754422334100546250875333898509397337041944071457297065199046874088556838652582799216546960236111947674528282646350961619028007395854736805318e-2
0.5075,2.6102513055020876148886641922975566368324149777530139567407277495671886703784375644120433459975623363388464825289264249863225957427124968847812e-2
0.5076,2.6450606111473587975457073339312384705706640763667796230340046769467772293392718318749938095677489605289099953515262340726858112600536950689655e-2
0.5077,2.6798701534632351880355092171732830545972978918094221995598570358757008103700509995652614644160384667063031365290176886937416729396478692267015e-2
0.5078,2.7146799355672159460426045636255034344775534912812258870415309161958673787598254676557202902793168271071652318858421107544010291423950000825779e-2
0.5079,2.7494899605769341194200733921848583861063791386835948178577458336203805867170955115852034779300290116473774643508702774524318049475036657195966e-2
0.508,2.7843002316101583878354780986923803770375465454698431596132088605848737591130542527745583446930553191419702543536200353688378760781644330836691e-2
0.5081,2.8191107517847948066042966070548492276960190059439518389458776244066158374364972538213932107110716753248254694774452026352031966210888898216625e-2
0.5082,2.8539215242188885507132680399544405066282824326841950083407691184191001639134163394494667536450841871313549239693024811301175458274360204983594e-2
0.5083,2.8887325520306256590360678416201105700480651531577736204269167660897786667048698119566264581954728569081872660909193418252012077952111526848004e-2
0.5084,2.9235438383383347787437297756767297702839617528777405397429475789677760396538429766744206342848061507648591698327947196292844764553755086394631e-2
0.5085,2.9583553862604889099122327178159315424656775484030534549836452291556118461600161906130258103401071698450692288937563835285522529475328383775095e-2
0.5086,2.9931671989157071503296706659483228565966152699832573568234012066645731645187937296963617338754687066617321852838569708747385023789620608612795e-2
0.5087,3.0279792794227564405054248996021411181977749628402063039788460906075599550792290861482349921230290688612583816001283239846793194266318827298400e-2
0.5088,3.0627916309005533088837577356307094545927201764311215474598099142384020645673628527907862046492435815077012909391410856781453513762508257824142e-2
0.5089,3.0976042564681656172642478487822271019123096365609846384496650878203194870636894625639628159721806737360886060824729884151222553660137556296171e-2
0.509,3.1324171592448143064314876533726502152919696947665988474466076997726393521262229278287535812918835701972052173932852616154109538225280384091358e-2
0.5091,3.1672303423498751419964637761878120182373754788876049368847569534152185825702816699020006677986404517758256431292397379244153951193352568955843e-2
0.5092,3.2020438089028804604520421908266662075616068148915594235957845420501648136322052209755236738732665473735413593654990955080138574385341254690323e-2
0.5093,3.2368575620235209154449801299858056353325193592955885378981968016611681100945764626231497700138178783141695050177281341039055309318374437177943e-2
0.5094,3.2716716048316472242668874446784264863948543038590677225672589304217280188570285365834870134094344813868692119456377591806642590332886776966463e-2
0.5095,3.3064859404472719145665606380809187496043802882542554342875903596865973542717982463218678354349085768550798794727109297515788227452953555390427e-2
0.5096,3.3413005719905710712861133666095343493913393812069005591105929221252669146903446022935521672509498591371574304791075940853596646920757555467861e-2
0.5097,3.3761155025818860838233277719504077975995301480062006688335602091960100993871668608403314313775329110301530978832660676088517425751440312307875e-2
0.5098,3.4109307353417253934226515851008989226776720948326147431801955014155273563285037826682477594558212832197083104525900702105291188625867993227759e-2
0.5099,3.4457462733907662407972665270311367698727888107708919029579840134926535452748232524440904269496874134015901750892881527617267107742394511835592e-2
0.51,3.4805621198498564139846541203441371482517351499373195397258217249407572397001652958750635914052946852262319720805433019986148073806606257393434e-2
0.5101,3.5153782778400159964380856223033379188164452867547089093586942825701378968072895697055423319140117678542216109024559758847357110825759165526907e-2
0.5102,3.5501947504824391153564633918102657619710602154740524667326867868008449736961343498707226650333541432016362963895050906666753242945585602210704e-2
0.5103,3.5850115408984956902549416113547610343470968915576278854385157694066103641082862112691976025453185051469139163331170847124885763018939703270676e-2
0.5104,3.6198286522097331817787548996282140540436886311323723229137624557590691512415301561808018719806355414017140208135189474451633249630434695497574e-2
0.5105,3.6546460875378783407626839713891028111702905603079534638717423558090121814566361469502631866159984594459525547104360275217718581699170167388610e-2
0.5106,3.6894638500048389575385881283022902153302028526749626323765428386186794607369116822453260417106060323310367268928470076317337900140419854945982e-2
0.5107,3.7242819427327056114934349978415855630470074722849417642205115009347823290926249321417492069394550630706220209155334448422249028134283246520213e-2
0.5108,3.7591003688437534208802585769515724223939203235158166543685593316026347697503864847610911880300340897796597735861395517253834613676715664522021e-2
0.5109,3.7939191314604437928844772830122515772983917986233224572130651535472561278226606518594566584155929808112042124871637090158642246781921919743185e-2
0.511,3.8287382337054261739480043667412665553415982283724683033680953626269149889099267611874542215454633917980048164688672993317036761069503560332460e-2
0.5111,3.8635576787015398003535837000060196181488499477529272183524430777673467535679176921314518244081830230892475794847007251906489852848292882471344e-2
0.5112,3.8983774695718154490717846161045225087252513601934236764789948059101900224243500668310438453888919875360379987025199502790989374217174064717460e-2
0.5113,3.9331976094394771888730901509120588754401028253428332053156867973738184459009410492661896565928701616014360017469496657603652700657016163027845e-2
0.5114,3.9680181014279441317075137103833898579180452158908071333142098603968716573935256054741962733072550236013554664351789109413603883289685351103280e-2
0.5115,4.0028389486608321843541798732500621520767977315029886882791143451458880342621913906555148281854542204729388446403082402503223088909730757728914e-2
0.5116,4.0376601542619558003433057273621559085443363551594430071964257167485708734722257536374920681331417087113804111841977069500724439907524829078855e-2
0.5117,4.0724817213553297321530198339963406280451049917107867875108488983282867331798714537053575567852738665066711341896772444456484942258003471119289e-2
0.5118,4.1073036530651707836834566165902190117464464727747365538135335722137647404678706433698130373226414487668296023940048686880555651223420412686497e-2
0.5119,4.1421259525158995630105646787694853787250770441351041915687233607445887537202639854274757075968066358900039496471121971739758428825433110137325e-2
0.512,4.1769486228321422354220682712122863302779830936003026137052854626088021461632900323206900765640174109370924685232512875601914968287581741431900e-2
0.5121,4.2117716671387322767380218478472520713169037531045902572836539579581553907733779969720320043727899564068617955384903154907058537464082161469851e-2
0.5122,4.2465950885607122269183983791108981552023553911354537555046440699883080306048933451444627301554829468884340424186548116361704580651318720617266e-2
0.5123,4.2814188902233354439601528234994360931666566357110937004357019269147749610893369663693565709140325122318909195422144767455474537658845503453275e-2
0.5124,4.3162430752520678580862028984424597039222765715007238283275290985285155983834298883245207821621253464999978310163240205852490450435453180284555e-2
0.5125,4.3510676467725897262287700376045004796633837515191171343870589183907292377016935192659789807089615927739002053987702687650405211305520822769244e-2
0.5126,4.3858926079107973868095241740881036012773071245809179253952991319393029792213056249370108650275530997892895735356306774153596154044263735773631e-2
